0.00		0.00		5.000 

0.05		0.25		5.225 

0.10		0.50		5.402 

0.15		0.75		5.529 

0.20		1.00		5.608 

0.25		1.25		5.637 

0.30		1.50		5.617 

0.35		1.75		5.548 

0.40		2.00		5.430 

0.45		2.25		5.263 

0.50		2.50		5.047 

0.55		2.75		4.782 

0.60		3.00		4.468 

0.65		3.25		4.105 

0.70		3.50		3.693 

0.75		3.75		3.232 

0.80		4.00		2.722 

0.85		4.25		2.162 

0.90		4.50		1.554 

0.95		4.75		0.896 

1.00		5.00		0.190 

